golden_tweet_id,golden_text,golden_intent,predicted_intent,predicted_escalation,similarity,historical_customer_text,historical_brand_reply,draft_reply,reason,human_evidence_supported,human_reason
183434,@AmazonHelp Ridiculous,non_action_or_context,non_action_or_context,True,0.5009828231953943,@122310 @115830 @AmazonHelp Ridiculous.... I feel so completely and utterly violated!,@139221 I'm so sorry for the troubling experience! We want to hear more about the situation. Here is a link to reach out to us directly: https://t.co/lTDtObG7dX . Please give us as much detail as possible and we'll take a closer look. ^MJ,,"The customer's message is extremely vague and lacks details about the issue, making the historical evidence ambiguous and insufficient to provide a specific resolution.",yes,The historical response supports asking for more details and directing the customer to support when the message is vague.
2719392,"@AmazonHelp C'était le 14 avant 22h, puis le 17 avant 22h et ensuite le 18 avant 22h et maintenant j'attends des ""informations complémentaires"" !",non_action_or_context,non_action_or_context,True,0.3973045356714018,"@AmazonHelp Tout s’est bien passé livré avant 22h.
Merci à vous 😘",@696994 Heureux de l'entendre :) J'espère que ce que vous avez commandé vous conviendra ;) ^MH,Je suis désolé pour ces retards répétés et l'attente concernant vos informations de livraison. Je vous invite à contacter notre service client afin que nous puissions vérifier cela immédiatement avec le transporteur.,"Le client signale des reports successifs de livraison et une demande d'informations complémentaires, ce qui nécessite une intervention humaine pour examiner le dossier avec le transporteur.",no,The historical example is about a successful delivery and does not support handling repeated delivery delays or missing delivery information.
2311434,@AmazonHelp Its resolved now. Thanks. I hope it will not happen again !,non_action_or_context,non_action_or_context,False,0.3321883701770003,@AmazonHelp Hope issue will be resolved now,"@665501 As you've shared the details, we'll check and help you with the issue. Appreciate your patience. ^MO",We are glad to hear your issue has been resolved! Please reach out again if you need any further assistance in the future.,"The customer's issue is already resolved and they are just thanking support, so no escalation is needed.",yes,"The historical response supports a positive follow-up after an issue is resolved, which is consistent with the agent's non-escalation and friendly reply."
434439,@AmazonHelp yes i sent it today,non_action_or_context,non_action_or_context,False,0.5473473670065989,@AmazonHelp Sent it,"@518874 Thank you, Benjamin! We'll reach out to you as soon as we can. ^WJ",Thank you for letting us know. Our team will review the details and follow up with you as soon as possible.,Sufficient historical evidence available to acknowledge receipt of the customer's update.,yes,The historical example closely matches the customer's update and supports acknowledging receipt and following up.
1181440,@AmazonHelp I know my order is eligible for a free return but I'm being charged $1 for printing the return label @ UPS? I don't own a printer??,return_replacement,return_replacement,True,0.3057112474336096,@115850 my order is eligible for free delivery but still I am not able to do so! https://t.co/a8ZVP0cfL4,"@174815 If your cart contains seller fulfilled items, you may be charged delivery charges for your order. ^SQ","I'm sorry for any frustration with the return label fee. Because we are unable to access account details through social media, please reach out to us directly so we can look into this for you.","The historical evidence is insufficient to resolve specific billing and return label disputes, and account-specific details cannot be viewed on this platform.",no,"The historical example concerns delivery charges, not return-label fees, so it does not support the agent's handling of this return issue."
1152623,"@AmazonHelp Hoy, lo que sería hace unas horas, lo que vendría a llamarse el día antes de mañana , porque mañana no era sinó hoy pero hoy no ha sido",non_action_or_context,non_action_or_context,True,0.3517715977024959,@AmazonHelp Hoy,"@230813 Entiendo, en este caso te recomiendo reportar esta situación con nuestro departamento de Servicio al Cliente, ingresando al siguiente enlace: https://t.co/beR78zMMYB ^KA",,"El mensaje del cliente es confuso y ambiguo, por lo que es necesario derivar el caso a un agente humano para una mejor atención.",yes,The historical example is also a vague message and supports directing an unclear customer issue to customer service.
250002,@AmazonHelp Ohk but not able to talk from customer care also if I want to talk from customer care phone is automatically disconnected,non_action_or_context,non_action_or_context,False,0.3405013489552091,@AmazonHelp Can I get contact no to talk In customer care.,@279936 You can reach out to our customer care by clicking on the link provided earlier and we will be happy to help you with this. ^KS,We are sorry to hear that you are having trouble connecting with our phone support. Please share your details with us through this link https://t.co/GIJyeYqKE0 and we will have someone get in touch with you.,"The customer is experiencing call disconnection issues, and based on historical evidence, we can direct them to an alternative contact form where support can reach out to them.",yes,The historical example is also a vague message and supports directing an unclear customer issue to customer service.
1777856,"@AmazonHelp Yep, the app is installed but I just wasn't sure if it would work as I'm in the Republic of Ireland as we had to wait for the PS4 app",non_action_or_context,non_action_or_context,True,0.2777167235901597,@116618 Thanks for bringing the PS4 app to Canada! One issue tho: The PS4 remote lacks R1 so Add to Watchlist doesn't work. Future fix?,@474406 Thanks for letting us know. We're always looking for ways to improve! ^DW,,"The historical evidence does not provide clear instructions or policy regarding app availability and functionality in the Republic of Ireland, so the request must be escalated to a human agent.",no,"The historical example concerns a different country and a different PS4 app issue, so it does not provide sufficient evidence about app availability in Ireland."
2615096,@AmazonHelp Ce matin à 10h alors que le colis était censé être livré aujourd'hui,non_action_or_context,non_action_or_context,False,0.3754643281490546,"@AmazonHelp Que le colis était initialement prévu vendredi, et qu'il a été reprogrammé aujourd'hui.","@258290 Entendu, tenez nous au courant en cas de besoin. ^KD","Bonjour, je suis désolé pour ce retard. Je vous invite à signaler ce problème de livraison à notre service client via le lien suivant : https://t.co/hgIrz98cdI afin que nous puissions y remédier.","The customer's message is incomplete, but the historical evidence provides a clear protocol to direct the customer to the customer service link for delivery issues.",no,The historical response acknowledges a rescheduled package but does not support directing the customer to a specific customer service link for this delivery issue.
2129437,"@AmazonHelp (1) No it does not, I also would like to know who the WH Deals shipped my order from cause I received a completed damaged item and would",product_issue,product_issue,False,0.3469121614144691,"@115850 Even if it is a neighbour, I would like to know who.",@122605 I'm sorry for the wrong update. Please get in touch with us via https://t.co/TxK11z5H93 and we'll look into this for you. ^AM,I'm sorry to hear that your item arrived completely damaged. Please reach out to us at https://t.co/TxK11z5H93 so we can look into this and assist you further.,The historical evidence provides a direct link and protocol for handling inquiries where the customer needs further investigation regarding a damaged or problematic order.,yes,"The historical response supports directing a customer with an order issue requiring investigation to Amazon support, which matches the agent's handling."
