golden_tweet_id,golden_text,golden_intent,rank,similarity,historical_customer_text,historical_brand_reply
1676677,"@AmazonHelp @AmazonHelp Order # 405-9747744-8241925 Check the mailbox for ""__email__"" And try calling the agent num you gav",order_status,1,0.36037433465893887,@AmazonHelp ORDER # 405-3723509-3357943,"@158451 Please don't provide your order details, we consider it personal information. Our page is visible to public. (2/2) ^ZH"
1676677,"@AmazonHelp @AmazonHelp Order # 405-9747744-8241925 Check the mailbox for ""__email__"" And try calling the agent num you gav",order_status,2,0.36037433465893887,@AmazonHelp Order #405-0688730-3012319,@349554 your details through the link provided above so that we can look into the issue. 2/3 ^SH
1676677,"@AmazonHelp @AmazonHelp Order # 405-9747744-8241925 Check the mailbox for ""__email__"" And try calling the agent num you gav",order_status,3,0.36037433465893887,@AmazonHelp Order #405-0688730-3012319,@349554 Twitter is a social media platform we'll not be able to access any of your account/order details. Kindly provide 1/3 ^SH
2543910,@AmazonHelp It's been the last week or so.,non_action_or_context,1,0.43304205825213754,@AmazonHelp It's been like it for a week or 2 so it can't just be black friday,@766659 I certainly understand your concern! We strive to meet the date given in check out. Have we missed the delivery date sent to you in your order confirmation email? You can also view this date here: https://t.co/aaDyEz1VgE. ^HC
2543910,@AmazonHelp It's been the last week or so.,non_action_or_context,2,0.373040769845238,@AmazonHelp I have had half of my orders in the last week or so delayed.    All I get told is that it will be here tomorrow.   pay for next day service!,"@656302 I'm sorry for the ongoing delays! When you contacted us, were we able to forward your feedback to the courier? ^SB"
2543910,@AmazonHelp It's been the last week or so.,non_action_or_context,3,0.3576884444368356,"@AmazonHelp Yes, the last day or so. Maybe week tops.","@506821 Hi Shantel, please contact us here and we'll be happy to look into it for you:  https://t.co/hApLpM3Ejd ^AT"
526148,"@AmazonHelp one of the customer reps answer: (I do understand but as we all have the same system and we all do follow the same protocol.
So system is not allowing us for the shipping upgrade as well as he discounts.)",order_status,1,0.23711730506444567,@AmazonHelp Yes i've checked and no one has used my card at all as we all have our own.,"@138670 As we don't have access to you account through Twitter, please reach out to us here: https://t.co/JzP7hlA23B so we can look into this. ^ES"
526148,"@AmazonHelp one of the customer reps answer: (I do understand but as we all have the same system and we all do follow the same protocol.
So system is not allowing us for the shipping upgrade as well as he discounts.)",order_status,2,0.21610565861590192,@AmazonHelp I use https://t.co/eXcW82ffJP as well as amazon.de. On both I have the same problem,@428324 Why country is your bank and card issued in? ^MC
526148,"@AmazonHelp one of the customer reps answer: (I do understand but as we all have the same system and we all do follow the same protocol.
So system is not allowing us for the shipping upgrade as well as he discounts.)",order_status,3,0.21166239416803978,We all love @115821 deliveries. 📦😻 https://t.co/fcTJ3jIi6p,@511309 Awww! 🙀 Cats think Amazon is pretty purr-fect! 😸  ^AD
1715659,@AmazonHelp it is leading to your waste customer care service,non_action_or_context,1,0.3946198737958621,@115850 worst Customer Care Service.,"@400234 Sorry to hear that, Akshay. Could you please tell us what went wrong so we could check right away? ^HK"
1715659,@AmazonHelp it is leading to your waste customer care service,non_action_or_context,2,0.38019876817934206,@115821 worst customer care service...,"@773243 Apologies for the issues with refund, that wasn't intended. Please contact our support team here: https://t.co/vlvfJr4nN9 and we will assist you. ^BS"
1715659,@AmazonHelp it is leading to your waste customer care service,non_action_or_context,3,0.35845510107030215,@115850 @AmazonHelp extremely poor service to a prime customer leading to mental harassment. Customer care telling lies again and again.,@192126 Apologies for the trouble. We'd like to know what exactly went wrong. Could you please elaborate the issue in details? ^AB
1047962,"@AmazonHelp No, I wasn't sure how to reach them. Thx for link. I'll try that next.",non_action_or_context,1,0.37673480259995923,@AmazonHelp no I wasn't,"@772883 In that case, we need you to reach out to us for real time communication by phone. This link: https://t.co/jzvkhdlrK5 will not require you to sign in to your account, once you have selected any issue the page will provide a phone number you can use to contact us ^CH"
1047962,"@AmazonHelp No, I wasn't sure how to reach them. Thx for link. I'll try that next.",non_action_or_context,2,0.3540108948005225,"@AmazonHelp No, but I’ll try that, thank you!",@523967 Awesome! Let us know if that works! ^MH
1047962,"@AmazonHelp No, I wasn't sure how to reach them. Thx for link. I'll try that next.",non_action_or_context,3,0.3508447012272039,@AmazonHelp Thank you I’ll try that :),@251449 You are very welcome! Please let us know if you need any further assistance! We've got your back. 😊 ^JD
440239,"@AmazonHelp Hurray I got ur valuable reply,  plz find the attached snap of reply.. #looteramazon https://t.co/QVYFF7IEPG",non_action_or_context,1,0.44646761122401146,@AmazonHelp Not able to do so...Plz find the attached image... https://t.co/MwcRZeUEYq,@274954 Please click on the above link and share the required the details. ^HN
440239,"@AmazonHelp Hurray I got ur valuable reply,  plz find the attached snap of reply.. #looteramazon https://t.co/QVYFF7IEPG",non_action_or_context,2,0.36044461642632236,@AmazonHelp Plz find across the snap of my reply on the mail thread sent by you ppl https://t.co/lYJxzmlxCM,@140964 Please don't provide your order details as we consider it personal information. Our twitter page is visible to public. ^SQ
440239,"@AmazonHelp Hurray I got ur valuable reply,  plz find the attached snap of reply.. #looteramazon https://t.co/QVYFF7IEPG",non_action_or_context,3,0.36044461642632236,@AmazonHelp Plz find across the snap of my reply on the mail thread sent by you ppl https://t.co/lYJxzmlxCM,@140964 here: https://t.co/GIJyeYqKE0 and we'll get back to you with an update. (2/2)^SQ
