tweet_id,customer_text,human_intent,predicted_intent,human_escalation,predicted_escalation,draft_reply,reason,top_similarity
1676677,"@AmazonHelp @AmazonHelp Order # 405-9747744-8241925 Check the mailbox for ""__email__"" And try calling the agent num you gav",order_status,non_action_or_context,yes,True,"Hello! Please remove your order details and personal information for your security, as this is a public page. Since we cannot access account or order details on this platform, please reach out to us through our official help pages so we can look into this for you.","The customer is asking us to check external emails and agent numbers, which requires secure channel handling and escalation beyond public social media support.",0.3603743346589388
2543910,@AmazonHelp It's been the last week or so.,non_action_or_context,non_action_or_context,yes,False,I'm sorry to hear you've been experiencing issues over the last week. Please reach out to us directly at https://t.co/hApLpM3Ejd so we can look into this for you.,The historical evidence provides a direct link to direct the customer for further assistance regarding ongoing issues.,0.4330420582521375
526148,"@AmazonHelp one of the customer reps answer: (I do understand but as we all have the same system and we all do follow the same protocol.
So system is not allowing us for the shipping upgrade as well as he discounts.)",order_status,non_action_or_context,yes,True,"We apologize for the frustration regarding your shipping and discount options. Since we are unable to access account details through this channel, please reach out to us directly through our support page so we can look into this further.","The historical evidence is insufficient to handle account-specific shipping and discount policy exceptions directly via social media support, requiring escalation to secure support channels.",0.2371173050644456
1715659,@AmazonHelp it is leading to your waste customer care service,non_action_or_context,non_action_or_context,yes,False,We are sorry to hear about your experience. Could you please share more details about what went wrong so we can look into this for you?,Sufficient historical evidence available to ask for more details regarding the customer's poor service complaint.,0.3946198737958621
1047962,"@AmazonHelp No, I wasn't sure how to reach them. Thx for link. I'll try that next.",non_action_or_context,non_action_or_context,yes,False,You're very welcome! Please feel free to reach back out if you need any additional help.,The customer is acknowledging instructions and thanking support; no further action or escalation is needed.,0.3767348025999592
440239,"@AmazonHelp Hurray I got ur valuable reply,  plz find the attached snap of reply.. #looteramazon https://t.co/QVYFF7IEPG",non_action_or_context,non_action_or_context,yes,True,,"The customer is expressing frustration ('#looteramazon') and sharing a screenshot via an external link regarding a previous reply, which requires manual agent review of the specific conversation thread and account context.",0.4464676112240114
2719392,"@AmazonHelp C'était le 14 avant 22h, puis le 17 avant 22h et ensuite le 18 avant 22h et maintenant j'attends des ""informations complémentaires"" !",non_action_or_context,non_action_or_context,yes,True,Je suis désolé pour ces retards répétés et l'attente concernant vos informations de livraison. Je vous invite à contacter notre service client afin que nous puissions vérifier cela immédiatement avec le transporteur.,"Le client signale des reports successifs de livraison et une demande d'informations complémentaires, ce qui nécessite une intervention humaine pour examiner le dossier avec le transporteur.",0.3973045356714018
78682,@AmazonHelp Well when I sent the message it stated 12 hours and before that when I called I was told I would get a call back within 2 hours it’s how well over 12 hours and I have had no contact,non_action_or_context,non_action_or_context,yes,True,We apologize for the delay and the missed callbacks. We want to ensure a team member looks into this right away so you receive an update.,"The customer experienced multiple broken promises regarding callback times exceeding 12 hours, requiring manual intervention by support.",0.3851219229021068
1041247,@AmazonHelp I need to know to status of my order.,order_status,order_status,yes,True,,"The historical evidence only contains responses for KDP, Amazon Pay, and account access issues, which are insufficient and weak for handling a specific order status inquiry. According to rule 10, the request must be escalated to a human.",0.4285793207647617
2615096,@AmazonHelp Ce matin à 10h alors que le colis était censé être livré aujourd'hui,non_action_or_context,non_action_or_context,yes,False,"Bonjour, je suis désolé pour ce retard. Je vous invite à signaler ce problème de livraison à notre service client via le lien suivant : https://t.co/hgIrz98cdI afin que nous puissions y remédier.","The customer's message is incomplete, but the historical evidence provides a clear protocol to direct the customer to the customer service link for delivery issues.",0.3754643281490546
1432232,@AmazonHelp Merci. Bonne fin de journée.,non_action_or_context,non_action_or_context,yes,False,Avec plaisir ! Bonne fin de journée à vous aussi.,"The customer is simply expressing gratitude and wishing a good end of the day, which can be handled directly using standard polite phrasing based on the historical evidence.",0.7737154021297649
2294193,@AmazonHelp I gave you the order number. I can't imagine you don't have more information and historical information available to you than I do. It's UPS 1Z9763FA0203582109 and the delivery date had been Yesterday 11/10 It is marked as 2nd day air.,delivery_issue,delivery_issue,yes,False,I'm sorry for the delay with your 2nd Day Air package. Late packages usually arrive within a day or two. Does the carrier website provide any additional insight into the delay?,"The historical evidence provides a relevant strategy for dealing with delayed carrier packages, and no policy invention or account access is required to ask if the carrier tracking has updated.",0.2363118368491056
