tweet_id,parent_text,customer_text,intent,escalation,escalation_reason,label_status,labeler,label_timestamp,confidence,notes,ai_intent,ai_escalation,ai_escalation_reason,ai_confidence
1676677,@510019 from the link here: https://t.co/beaaDm0muc and we will assist you accordingly.(2/2)^HR,"@AmazonHelp @AmazonHelp Order # 405-9747744-8241925 Check the mailbox for ""__email__"" And try calling the agent num you gav",order_status,yes,Order-specific investigation required,human_reviewed,human,,,,,,,
2543910,@382602 Hi Rich. This seems a bit odd. Has it always happened or new issue for you? ^NV,@AmazonHelp It's been the last week or so.,non_action_or_context,yes,Insufficient context to safely resolve,human_reviewed,human,,,,,,,
526148,@241739 Can you tell us what information/options we provided when you spoke with us? ^EZ,"@AmazonHelp one of the customer reps answer: (I do understand but as we all have the same system and we all do follow the same protocol.
So system is not allowing us for the shipping upgrade as well as he discounts.)",order_status,yes,Shipping upgrade requires order-specific investigation,human_reviewed,human,,,,,,,
1715659,@119535 your details here: https://t.co/vlvfJr4nN9 &amp; we'll reach out to you at the earliest. 2/2 ^EM,@AmazonHelp it is leading to your waste customer care service,non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:36:52.821293+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
1047962,@367694 We're sorry you didn't receive your order as expected! Have you contacted the seller regarding this: https://t.co/tvWoDKO9IP? ^WM,"@AmazonHelp No, I wasn't sure how to reach them. Thx for link. I'll try that next.",non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:36:58.023487+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
440239,"@140964 Apologies for the stretch, we value your time. We shall be closing this at the earliest. ^CB","@AmazonHelp Hurray I got ur valuable reply,  plz find the attached snap of reply.. #looteramazon https://t.co/QVYFF7IEPG",non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:36:59.990993+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
2719392,"@763148 Bonjour, quelle est la date estimée de livraison SVP ? ^SM","@AmazonHelp C'était le 14 avant 22h, puis le 17 avant 22h et ensuite le 18 avant 22h et maintenant j'attends des ""informations complémentaires"" !",non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:37:06.911182+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
78682,"@133551 I sincerely understand your frustrations, Gareth and assure you we're here to help as much as we can!  I appreciate your patience as we work through the queue and someone will be in touch as soon as possible. ^SM",@AmazonHelp Well when I sent the message it stated 12 hours and before that when I called I was told I would get a call back within 2 hours it’s how well over 12 hours and I have had no contact,non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:37:09.032381+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
1041247,@366269 We have sent a correspondence to your registered email Id. We request you check and reply to the email sent. ^RD,@AmazonHelp I need to know to status of my order.,order_status,yes,Order-specific status investigation required,human_reviewed,human,2026-09-11T05:37:10.270985+00:00,High,Pre-filled from AI proposal (`order_status`).,order_status,yes,Order-specific status investigation required,High
2615096,"@739215 Bonjour, je suis sincèrement désolée pour cela, avez-vous reçu un email vous indiquant la rupture de stock je vous prie? .
^KE",@AmazonHelp Ce matin à 10h alors que le colis était censé être livré aujourd'hui,non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:37:11.518165+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
1432232,@452578 Bonne réception !! ^ME,@AmazonHelp Merci. Bonne fin de journée.,non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:37:12.493376+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
2294193,@511623 Have we missed the delivery date shown here: https://t.co/Y5jpI9gRhE? Can you tell us who the carrier is as well? ^VS,@AmazonHelp I gave you the order number. I can't imagine you don't have more information and historical information available to you than I do. It's UPS 1Z9763FA0203582109 and the delivery date had been Yesterday 11/10 It is marked as 2nd day air.,delivery_issue,yes,Delivery problem requires package tracking and status check,human_reviewed,human,2026-09-11T05:37:12.892397+00:00,High,Pre-filled from AI proposal (`delivery_issue`).,delivery_issue,yes,Delivery problem requires package tracking and status check,High
741555,@297353 I'm sorry for the poor experience. Were you given a reason for the updated delivery date? Please let us know! ^FD,@AmazonHelp Yes. It's because @115821 sold my preorder on the Treasure Truck instead of sending it to people who pre ordered it!,delivery_issue,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:44:03.106641+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`). | Final semantic audit: intent non_action_or_context -> delivery_issue,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
1390009,@442795 I get you're upset. Request you to reply to our correspondence here : https://t.co/8DAc10S7ww and we'll act accordingly. ^SK,@AmazonHelp It's a day 3 my product is out for delivery. But I didn't get any contact details of delivery agent. Plz help me with only contact no.,delivery_issue,yes,Delivery problem requires package tracking and status check,human_reviewed,human,2026-09-11T05:37:16.023030+00:00,High,Pre-filled from AI proposal (`delivery_issue`).,delivery_issue,yes,Delivery problem requires package tracking and status check,High
1317506,@256157 Sorry to hear you're having an issue. Please keep us posted. ^MC,@AmazonHelp Thank you to your online chat team for helping me sort this out my order should be dispatched today and arrive tomorrow before 1 o'clock,non_action_or_context,no,No action required; customer confirms resolution,human_reviewed,human,2026-09-11T05:44:16.326033+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`). | Final semantic audit: escalation -> no. No action required; customer confirms resolution,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
1510496,@470590 Sorry to hear this Ewen - what is the latest status of the delivery :  https://t.co/aaDyEz1VgE ^TD,@AmazonHelp It's being delivered again today. Due Tuesday &amp; each day has said it will be delivered today. It left for locker delivery Tuesday evening.,delivery_issue,yes,Delivery problem requires package tracking and status check,human_reviewed,human,2026-09-11T05:44:16.883736+00:00,High,Pre-filled from AI proposal (`delivery_issue`).,delivery_issue,yes,Delivery problem requires package tracking and status check,High
1303649,@319629 Please revert to the latest email you've received from the Social Media team and we'll check this. ^HN,@AmazonHelp This is the latest one I have received. Now stop this nonsense please. https://t.co/XcNWe8q0FQ,delivery_issue,yes,Delivery problem requires package tracking and status check,human_reviewed,human,2026-09-11T05:37:19.559585+00:00,High,Pre-filled from AI proposal (`delivery_issue`).,delivery_issue,yes,Delivery problem requires package tracking and status check,High
2238481,@652712 It's not unusual for items to ship and be delivered in the same day! Let us know if you don't receive it by 9:00 PM. ^HM,"@AmazonHelp it's an item I need today though, so if it isn't here by 9pm it will be too late? this happens often when it hasn't shipped by at least noon",delivery_issue,yes,Delivery problem requires package tracking and status check,human_reviewed,human,2026-09-11T05:37:20.863944+00:00,High,Pre-filled from AI proposal (`delivery_issue`).,delivery_issue,yes,Delivery problem requires package tracking and status check,High
1293713,"@422535 I'm sorry for the frustration! If your order doesn't arrive Friday, please reach us here: https://t.co/JzP7hlA23B ^JR",@AmazonHelp Today im not going to be able to answer the door bc im locked in. And i NEED these supplies today for a commission 😂😭,non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:44:20.973597+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
2923515,"@809020 |ω・)ﾁﾗｯ
Amazonをご利用いただき、ありがとうございます！
お子様用のプレゼントでしょうか...?お母様、いつもお疲れ様です🙇 YM#",@AmazonHelp こちらこそいつもありがとうございます。色々と助かってます。私のプレゼントもアマゾンさまから届くといいのですが(^_^;)残念ながら旦那サンタは見ていないようです,non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:37:22.781136+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
1798441,"@540376 Based on the chat transcript provided, it appears we've escalated your concern to the carrier for assistance with your package. 2/3","@AmazonHelp The manager I finally xferred to is trying to make it right, but it should not have taken a manager.",non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:37:23.217166+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
245885,"@171909 Aloke, as mentioned in the email, please email us the courier's shipping charges receipt and our team will refund it. ^MS",@AmazonHelp Sir I have mailed the courier recipient but Amazon is asking written letter from courier officials apart from recipient to prove courier chg,non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:44:21.390059+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
127402,"@144608 Hmm, that's odd. I'm sorry those steps didn't solve the login issue. Please reach out to us here so that we can further troubleshoot: https://t.co/Q7Ftz6nj80 ^EA",@AmazonHelp It's definitely the app that's the issue because clicking on the link you gave me opens it up in the Twitter in-app browser on mobile and that allows me to successfully login. It's specifically the app that won't let me login.,account_login,yes,Account access and login verification required,human_reviewed,human,2026-09-11T05:44:29.637072+00:00,High,Pre-filled from AI proposal (`account_login`).,account_login,yes,Account access and login verification required,High
530419,@242844 Apologies for the delay in the delivery of the order. Seems like there was a delay due to weather disaster. Kindly wait until the new estimated delivery date provided via email. Appreciate your understanding. Do keep us posted for further queries. ^AK (1/2),@AmazonHelp Weather Disaster??? Weather was good in Gurgaon in last week. Not understanding this reason for delayed my product.,non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:44:30.858169+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
514664,"@238506 Hola Nicolás, ¿Tu pedido provenía directamente de Amazon o de un vendedor Marketplace? ^JD",@AmazonHelp El pedido es directamente de Amazon y los dos casos de la foto se tratan de productos vendidos y enviados por Amazon directamente y con Prime disponible,non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:44:31.378593+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
1469146,@448572 I'm sorry you didn't get your package! What does tracking currently show? Please check here: https://t.co/RasZZ0J1h4 ^BE,"@AmazonHelp It shows a new delivery date of tomorrow or Saturday. That’s rude, I️ could’ve gotten it at the store. 😑",delivery_issue,yes,Delivery problem requires package tracking and status check,human_reviewed,human,2026-09-11T05:37:31.094910+00:00,High,Pre-filled from AI proposal (`delivery_issue`).,delivery_issue,yes,Delivery problem requires package tracking and status check,High
1075575,@373775 Thank you for letting us know. Please provide more order details here: https://t.co/SpxbPtHp7k ^KB,@AmazonHelp Filled out.,non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:37:35.303669+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
1615564,@164808 Could you please confirm if you have shared your details using the secured link provided earlier? ^RI,@AmazonHelp You can easily resolve my prob but simply u didn't want to return my money you are wasting my time! But i will not keep quiet! I wil xpose u,refund_issue,yes,Return or replacement processing required,human_reviewed,human,2026-09-11T05:44:31.974382+00:00,High,Pre-filled from AI proposal (`return_replacement`). | Final semantic audit: intent return_replacement -> refund_issue,return_replacement,yes,Return or replacement processing required,High
140990,"@147809 We don't have access to your account details via Twitter, but we can have a specialist look in to the experience you're having and help to sort this all out. If you provide as many details as you can here, we'll be in touch with you: https://t.co/HotEQ3yjbr ^KN","@AmazonHelp ok, will do. thanks",non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:37:37.771711+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
815570,"@314208 La dirección de facturación se relaciona con la tarjeta, la modificas en los métodos de pago en ""Mi cuenta"" ^AR","@AmazonHelp Ok ya está, pero para cambiarla en un pedido que ya está en camino? Me sigue saliendo la antigua...",non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:37:38.924880+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
2898960,"@803132 Hello Travis, sorry for the frustration. Where you able to cancel HBO prior to the renewal charge? More information on canceling channels can be found here: https://t.co/A7XLuJJ9fi ^TE","@AmazonHelp I am 100% that I did cancel it, but found out I was charged yesterday. I'm not sure I understand how it works if I cancel and am still charged.",cancel_order,yes,Order cancellation requires account-specific action,human_reviewed,human,2026-09-11T05:44:32.509848+00:00,High,Pre-filled from AI proposal (`cancel_order`).,cancel_order,yes,Order cancellation requires account-specific action,High
1261821,"@415585 Se entro domani non dovessero esserci aggiornamenti, il nostro Servizio Clienti può darti assistenza. ^GD",@AmazonHelp Ancora risulta non spedito...estremamente deluso...ho contatto il servizio ma non ho avuto risposte..,non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:37:40.754129+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
206100,@164806 Oh no! Have you had a chance to contact us using the link provided? We can then view available options! ^AB,"@AmazonHelp Chatted w/ Customer Service yesterday. They said “It'll be delivered before Tuesday, November 7, 2017 12:00 AM (PST).” Still no package. :(",delivery_issue,yes,Delivery problem requires package tracking and status check,human_reviewed,human,2026-09-11T05:37:41.330867+00:00,High,Pre-filled from AI proposal (`delivery_issue`).,delivery_issue,yes,Delivery problem requires package tracking and status check,High
1860946,"@556246 How long ago was it that you spoke to us? Which one of our sites are you using? Is it from https://t.co/nUUp5MLhYl, https://t.co/ykTUEmdsQA, or one of our others? ^PJ",@AmazonHelp Got it figured out thank you,non_action_or_context,yes,Context-dependent message or insufficient details provided,human_reviewed,human,2026-09-11T05:37:42.629661+00:00,Medium,Pre-filled from AI proposal (`non_action_or_context`).,non_action_or_context,yes,Context-dependent message or insufficient details provided,Medium
